time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
2,1,0,0,1
52,36,0,0,30
102,71,0,0,59
152,98,0,0,80
205,112,0,0,88
255,148,0,0,118
306,178,0,0,142
356,191,12,0,150
406,195,42,0,150
456,200,58,8,147
509,200,58,33,140
560,200,58,62,131
610,200,58,148,122
669,200,58,173,113
719,200,58,194,106
769,200,58,212,98
820,207,58,229,99
871,235,58,229,118
921,264,58,229,142
974,278,75,229,150
1025,283,111,229,150
1081,290,126,229,150
1133,297,145,229,150
1185,303,164,229,150
1235,309,182,229,150
1285,316,202,229,150
1335,322,224,229,150
1385,328,253,229,150
1435,336,272,229,150
1487,346,292,229,150
1538,351,324,229,150
1589,361,337,229,150
1639,368,353,229,150
1690,376,380,229,150
1740,382,403,229,150
1791,386,431,229,150
1842,394,448,229,150
1892,399,477,229,150
1946,406,504,229,150
1999,414,534,229,150
2050,419,556,229,150
2100,428,576,229,150
2150,434,601,229,150
2201,441,620,229,150
2251,446,643,229,150
2301,452,670,229,150
2352,456,689,229,150
2402,462,716,229,150
2452,468,738,229,150
2502,474,757,229,150
2554,481,778,229,150
2605,488,799,229,150
2657,493,838,229,150
2707,499,859,229,150
2757,504,890,229,150
2807,508,907,229,150
2857,514,932,229,150
2908,521,958,229,150
2959,526,988,229,150
3009,534,1014,229,150
3070,541,1027,229,149
3120,549,1044,229,150
3177,555,1074,229,149
3229,563,1091,229,150
3284,567,1113,229,150
3335,574,1132,229,150
3386,582,1147,229,150
3442,589,1169,229,150
3493,597,1190,229,150
3543,602,1205,229,150
3594,610,1226,229,150
3644,616,1253,229,150
3694,622,1271,229,150
3744,629,1299,229,150
3795,633,1331,229,150
3845,638,1356,229,150
3895,644,1384,229,150
3947,648,1409,229,150
3998,655,1432,229,150
4049,664,1451,229,150
4104,672,1475,229,150
4155,680,1501,229,150
4205,685,1521,229,150
4257,689,1540,229,150
4307,695,1551,229,150
4357,703,1568,229,150
4407,708,1577,229,150
4459,713,1595,229,150
4512,721,1609,229,150
4563,727,1631,229,150
4617,732,1661,229,150
4667,737,1688,229,150
4717,743,1715,229,150
4771,751,1733,229,150
4821,756,1751,229,150
4873,762,1781,229,150
4924,769,1800,229,150
4975,774,1824,229,150
5026,781,1839,229,150
5076,789,1855,229,150
5130,796,1920,229,150
5180,803,1938,229,150
5230,809,1962,229,150
5280,816,1978,229,150
5330,821,2000,229,150
5380,827,2025,229,150
5432,833,2057,229,150
5483,840,2073,229,150
5534,846,2089,229,150
5586,852,2105,229,149
5636,859,2139,229,150
5686,866,2160,229,150
5738,871,2180,229,150
5789,877,2193,229,150
5839,884,2212,229,150
5891,891,2230,229,150
5941,897,2250,229,150
5991,906,2272,229,150
6044,913,2302,229,150
6094,920,2320,229,150
6144,925,2341,229,150
6195,929,2360,229,150
6247,934,2386,229,150
6297,941,2417,229,150
6347,946,2446,229,150
6397,952,2465,229,150
6448,960,2495,229,150
6498,968,2516,229,150
6548,973,2543,229,150
6600,979,2573,229,150
6651,986,2595,229,150
6701,991,2619,229,150
6751,996,2637,229,150
6802,1002,2661,229,150
6852,1007,2715,229,150
6902,1013,2758,229,150
6952,1018,2791,229,150
7002,1024,2806,229,150
7052,1031,2827,229,150
7106,1039,2851,229,148
7158,1047,2869,229,150
7208,1054,2883,229,150
7258,1060,2912,229,150
7308,1068,2935,229,150
7359,1076,2952,229,150
7411,1083,2979,229,150
7462,1090,2999,229,150
7513,1095,3028,229,150
7565,1101,3048,229,150
7615,1108,3064,229,150
7670,1115,3131,229,150
7720,1123,3156,229,150
7770,1130,3178,229,150
7820,1135,3205,229,150
7873,1144,3229,229,150
7926,1149,3252,229,150
7976,1156,3266,229,150
8026,1164,3289,229,150
8076,1172,3311,229,150
8126,1180,3333,229,150
8176,1186,3360,229,150
8226,1193,3383,229,150
8279,1199,3411,229,150
8331,1206,3433,229,150
8382,1213,3458,229,150
8432,1220,3477,229,150
8483,1226,3501,229,150
8534,1232,3531,229,150
8587,1238,3549,229,149
8637,1246,3577,229,150
8687,1253,3586,229,150
8737,1261,3607,229,150
8793,1267,3642,229,150
8847,1275,3661,229,150
8897,1286,3687,229,150
8948,1292,3718,229,150
9000,1297,3744,229,150
9050,1308,3759,229,150
9101,1316,3774,229,150
9153,1324,3800,229,150
9204,1330,3821,229,150
9254,1338,3836,229,150
9304,1344,3862,229,150
9357,1351,3883,229,150
9407,1356,3907,229,150
9458,1360,3930,229,150
9509,1367,3950,229,150
9560,1374,3971,229,150
9611,1380,3993,229,150
9663,1387,4011,229,150
9713,1392,4027,229,150
9765,1396,4052,229,150
9818,1401,4072,229,150
9868,1407,4105,229,150
9918,1414,4127,229,150
9970,1421,4145,229,150
10025,1427,4173,229,150
10078,1432,4211,229,150
10130,1437,4237,229,150
10180,1442,4264,229,150
10232,1448,4273,229,150
10282,1455,4296,229,150
10332,1460,4327,229,150
10383,1467,4346,229,150
10433,1472,4370,229,150
10486,1479,4399,229,150
10536,1487,4417,229,150
10586,1491,4436,229,150
10637,1496,4467,229,150
10687,1504,4484,229,150
10737,1510,4507,229,150
10787,1516,4526,229,150
10840,1523,4560,229,150
10892,1530,4580,229,150
10942,1536,4595,229,150
10992,1543,4662,229,150
11042,1549,4678,229,150
11092,1555,4699,229,148
11143,1564,4715,229,150
11196,1569,4737,229,150
11251,1575,4756,229,150
11302,1581,4786,229,150
11353,1588,4803,229,150
11404,1597,4826,229,150
11454,1601,4850,229,150
11505,1607,4859,229,150
11555,1612,4881,229,150
11605,1619,4900,229,150
11655,1626,4923,229,150
11708,1633,4950,229,150
11758,1638,4981,229,150
11808,1646,5007,229,150
11858,1653,5037,229,150
11912,1660,5056,229,150
11962,1666,5077,229,150
12021,1676,5091,229,149
12074,1684,5106,229,150
12126,1691,5125,229,150
12178,1696,5150,229,150
12228,1703,5169,229,150
12279,1711,5189,229,150
12331,1720,5204,229,150
12381,1726,5233,229,150
12434,1735,5250,229,150
12486,1744,5272,229,150
12536,1752,5293,229,150
12593,1759,5308,229,149
12644,1764,5337,229,150
12694,1772,5354,229,150
12746,1779,5377,229,150
12798,1786,5403,229,149
12849,1793,5427,229,150
12901,1803,5454,229,150
12953,1810,5470,229,150
13003,1817,5496,229,150
13053,1821,5525,229,150
13103,1827,5559,229,150
13153,1834,5582,229,150
13206,1840,5604,229,150
13256,1847,5642,229,150
13306,1854,5658,229,150
13356,1858,5682,229,150
13409,1867,5699,229,150
13459,1874,5721,229,150
13510,1880,5738,229,150
13560,1886,5758,229,150
13610,1892,5782,229,150
13663,1898,5809,229,150
13714,1904,5834,229,150
13766,1909,5859,229,150
13818,1914,5880,229,150
13868,1923,5899,229,150
13921,1931,5921,229,150
13972,1938,5940,229,150
14024,1945,5960,229,150
14074,1951,5981,229,150
14125,1957,6001,229,150
14180,1963,6021,229,150
14230,1968,6053,229,150
14280,1973,6080,229,150
14331,1980,6106,229,150
14384,1986,6119,229,149
14437,1992,6147,229,150
14487,1997,6168,229,150
14537,2005,6196,229,150
14588,2012,6222,229,150
14640,2016,6241,229,150
14692,2021,6268,229,150
14743,2028,6280,229,150
14794,2036,6296,229,150
14845,2042,6324,229,150
14898,2049,6349,229,150
14948,2055,6368,229,150
14998,2061,6398,229,150
15049,2066,6417,229,150
15099,2070,6450,229,150
15159,2079,6465,229,149
15209,2086,6482,229,150
15264,2092,6498,229,150
15317,2099,6529,229,150
15367,2105,6548,229,150
15418,2112,6574,229,150
15477,2118,6600,229,148
15529,2127,6612,229,148
15579,2134,6636,229,150
15629,2142,6650,229,149
15682,2148,6681,229,150
15737,2157,6710,229,150
15789,2162,6726,229,150
15839,2169,6743,229,150
15894,2173,6767,229,150
15944,2179,6800,229,150
15995,2186,6823,229,150
16046,2192,6851,229,150
16096,2201,6872,229,150
16146,2207,6892,229,150
16196,2212,6910,229,150
16247,2219,6931,229,150
16298,2225,6954,229,150
16348,2232,6979,229,150
16399,2240,7003,229,150
16451,2248,7030,229,150
16501,2255,7063,229,150
16551,2259,7089,229,150
16601,2267,7113,229,150
16652,2274,7137,229,150
16702,2280,7160,229,150
16756,2286,7175,229,150
16807,2294,7191,229,150
16857,2299,7209,229,150
16907,2304,7235,229,150
16963,2311,7254,229,150
17013,2318,7283,229,150
17063,2324,7304,229,150
17113,2331,7329,229,150
17164,2336,7350,229,150
17214,2342,7380,229,150
17271,2350,7411,229,150
17321,2355,7434,229,150
17372,2360,7508,229,150
17424,2365,7529,229,150
17480,2374,7554,229,150
17530,2380,7584,229,150
17584,2386,7614,229,150
17634,2396,7628,229,150
17684,2403,7654,229,150
17734,2411,7676,229,150
17784,2417,7699,229,150
17834,2423,7714,229,150
17886,2427,7738,229,150
17937,2432,7765,229,150
17987,2441,7786,229,150
18038,2449,7803,229,150
18088,2453,7828,229,150
18139,2458,7845,229,150
18189,2464,7864,229,150
18239,2470,7877,229,150
18292,2478,7901,229,150
18342,2486,7921,229,150
18392,2494,7935,229,150
18442,2499,7960,229,150
18492,2503,7986,229,150
18549,2512,8019,229,150
18602,2518,8034,229,149
18652,2525,8059,229,150
18703,2531,8074,229,150
18753,2539,8098,229,150
18807,2544,8126,229,150
18858,2552,8152,229,150
18908,2558,8177,229,150
18959,2562,8199,229,150
19010,2569,8220,229,150
19060,2574,8245,229,150
19110,2580,8266,229,150
19162,2589,8280,229,150
19212,2596,8298,229,150
19263,2602,8319,229,150
19314,2610,8339,229,150
19366,2617,8360,229,150
19418,2624,8374,229,150
19469,2631,8387,229,150
19519,2638,8400,229,150
19569,2645,8422,229,150
19622,2653,8450,229,150
19673,2660,8469,229,150
19726,2667,8483,229,150
19776,2672,8500,229,149
19826,2678,8527,229,150
19876,2685,8546,229,150
19929,2690,8574,229,150
19979,2695,8602,229,150
20032,2705,8621,229,150
20084,2713,8638,229,150
20136,2718,8667,229,150
20187,2724,8685,229,150
20237,2734,8704,229,150
20289,2742,8771,229,150
20340,2749,8790,229,150
20390,2754,8804,229,150
20444,2760,8828,229,150
20495,2765,8854,229,150
20545,2772,8865,229,150
20595,2778,8887,229,150
20647,2786,8911,229,150
20698,2792,8930,229,150
20748,2799,8956,229,150
20798,2804,8982,229,150
20850,2809,9008,229,150
20901,2816,9027,229,150
20952,2822,9052,229,150
21004,2827,9081,229,150
21057,2832,9106,229,150
21108,2839,9127,229,150
21158,2845,9151,229,150
21208,2851,9177,229,150
21260,2857,9202,229,150
21312,2865,9219,229,150
21364,2872,9249,229,149
21418,2881,9264,229,150
21470,2890,9277,229,150
21522,2896,9302,229,150
21573,2905,9320,229,150
21623,2911,9346,229,150
21675,2920,9368,229,150
21726,2924,9395,229,150
21778,2931,9422,229,150
21831,2939,9439,229,150
21882,2946,9463,229,150
21935,2952,9487,229,150
21985,2958,9514,229,150
22035,2964,9532,229,150
22088,2971,9550,229,150
22139,2978,9575,229,150
22191,2986,9591,229,150
22242,2990,9611,229,150
22292,2996,9630,229,150
22344,3002,9655,229,150
22398,3011,9677,229,150
22449,3018,9709,229,150
22499,3022,9727,229,150
22558,3029,9751,229,150
22608,3034,9780,229,150
22658,3042,9796,229,150
22709,3049,9818,229,150
22761,3057,9832,229,150
22811,3065,9842,229,150
22861,3071,9865,229,150
22911,3078,9882,229,150
22961,3084,9901,229,150
23011,3090,9921,229,150
23062,3096,9938,229,150
23112,3104,9955,229,150
23162,3111,9972,229,150
23213,3119,9990,229,150
23266,3125,10013,229,150
23317,3132,10027,229,150
23371,3140,10046,229,150
23421,3145,10065,229,150
23473,3154,10080,229,150
23525,3159,10103,229,150
23575,3165,10138,229,150
23626,3170,10181,229,150
23676,3176,10194,229,150
23727,3182,10210,229,150
23779,3189,10233,229,150
23833,3194,10252,229,149
23888,3202,10281,229,148
23942,3213,10295,229,149
23994,3220,10312,229,150
24045,3225,10329,229,150
24095,3231,10348,229,150
24147,3238,10364,229,150
24197,3246,10386,229,150
24247,3252,10404,229,150
24308,3259,10421,229,150
24358,3267,10442,229,150
24409,3272,10464,229,150
24463,3278,10495,229,150
24514,3283,10520,229,150
24566,3291,10535,229,150
24617,3298,10554,229,150
24669,3303,10586,229,150
24720,3309,10606,229,150
24771,3314,10634,229,150
24821,3320,10654,229,150
24872,3326,10682,229,150
24923,3332,10708,229,150
24973,3338,10734,229,150
25025,3344,10753,229,150
25076,3350,10785,229,150
25126,3356,10811,229,150
25176,3361,10836,229,150
25229,3368,10860,229,150
25281,3373,10890,229,150
25332,3379,10916,229,150
25382,3386,10936,229,150
25434,3391,10952,229,150
25484,3397,10973,229,150
25534,3404,10996,229,150
25584,3412,11063,229,150
25636,3417,11087,229,150
25688,3423,11110,229,150
25739,3429,11133,229,150
25789,3435,11158,229,150
25840,3442,11180,229,149
25895,3449,11201,229,150
25946,3456,11213,229,150
25997,3463,11228,229,150
26047,3469,11298,229,150
26098,3477,11328,229,150
26149,3486,11356,229,150
26204,3494,11375,229,150
26255,3502,11405,229,150
26305,3507,11437,229,150
26355,3511,11463,229,150
26405,3516,11483,229,150
26455,3524,11507,229,150
26506,3531,11526,229,150
26556,3537,11550,229,150
26607,3542,11569,229,150
26657,3549,11586,229,150
26710,3557,11608,229,150
26761,3564,11625,229,148
26811,3573,11648,229,150
26862,3578,11673,229,150
26917,3586,11704,229,150
26967,3593,11719,229,150
27017,3598,11746,229,150
27068,3605,11765,229,150
27122,3610,11785,229,150
27174,3616,11803,229,150
27225,3623,11835,229,150
27276,3629,11856,229,150
27330,3635,11871,229,150
27383,3642,11893,229,150
27435,3650,11908,229,150
27486,3655,11927,229,150
27536,3662,11947,229,150
27588,3670,11964,229,150
27638,3677,11986,229,150
27689,3685,12004,229,150
27742,3692,12032,229,150
27795,3697,12108,229,149
27845,3703,12127,229,150
27897,3711,12138,229,150
27947,3717,12155,229,150
27999,3725,12182,229,150
28050,3733,12196,229,150
28102,3739,12221,229,150
28152,3744,12247,229,150
28202,3751,12274,229,149
28252,3760,12301,229,150
28303,3766,12324,229,150
28353,3770,12341,229,150
