time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
2,1,0,0,1
52,36,0,0,8
102,71,0,0,14
152,98,0,0,1
205,112,0,0,1
255,148,0,0,9
306,150,0,28,0
356,150,0,53,0
406,150,0,87,0
456,150,0,116,0
509,150,0,141,0
560,150,0,170,0
610,150,0,256,0
669,150,0,281,0
719,150,0,302,0
769,150,0,320,0
820,150,0,344,0
871,150,0,372,0
921,150,0,401,0
974,150,0,432,0
1025,162,0,461,1
1081,184,0,461,1
1133,210,0,461,1
1185,235,0,461,1
1235,259,0,461,3
1285,286,0,461,1
1335,300,0,475,0
1385,300,0,510,0
1435,300,0,537,0
1487,300,0,567,0
1538,300,0,604,0
1589,300,0,627,0
1639,300,0,650,0
1690,300,0,685,0
1740,300,0,714,0
1791,300,0,746,0
1842,300,0,771,0
1892,300,0,805,0
1946,300,0,839,0
1999,300,0,877,0
2050,316,0,888,1
2100,345,0,888,6
2150,366,0,898,1
2201,387,0,903,1
2251,415,0,903,8
2301,444,0,907,3
2352,450,0,924,0
2402,450,0,957,0
2452,450,0,985,0
2502,450,0,1010,0
2554,450,0,1038,0
2605,450,0,1066,0
2657,450,0,1110,0
2707,450,0,1137,0
2757,450,0,1173,0
2807,450,0,1194,0
2857,450,0,1225,0
2908,450,0,1258,0
2959,450,0,1293,0
3009,454,0,1323,1
3070,470,0,1327,1
3120,495,0,1327,4
3177,525,0,1333,1
3229,545,0,1338,1
3284,571,0,1338,1
3335,597,0,1338,2
3386,600,0,1358,0
3442,600,0,1387,0
3493,600,0,1416,0
3543,600,0,1436,0
3594,600,0,1465,0
3644,600,0,1498,0
3694,600,0,1522,0
3744,600,0,1557,0
3795,600,0,1593,0
3845,600,0,1623,0
3895,600,0,1657,0
3947,600,0,1686,0
3998,600,0,1716,0
4049,614,0,1730,0
4104,632,0,1744,1
4155,663,0,1747,4
4205,688,0,1747,4
4257,702,0,1756,1
4307,719,0,1756,3
4357,744,0,1756,1
4407,750,0,1764,0
4459,750,0,1787,0
4512,750,0,1809,0
4563,750,0,1837,0
4617,750,0,1872,0
4667,750,0,1904,0
4717,750,0,1937,0
4771,750,0,1963,0
4821,750,0,1986,0
4873,750,0,2022,0
4924,750,0,2048,0
4975,750,0,2077,0
5026,756,0,2093,1
5076,772,0,2101,1
5130,793,0,2152,1
5180,818,0,2152,8
5230,844,0,2156,1
5280,857,0,2166,1
5330,881,0,2169,1
5380,900,0,2181,0
5432,900,0,2219,0
5483,900,0,2242,0
5534,900,0,2264,0
5586,900,0,2286,0
5636,900,0,2327,0
5686,900,0,2355,0
5738,900,0,2380,0
5789,900,0,2399,0
5839,900,0,2425,0
5891,900,0,2450,0
5941,900,0,2476,0
5991,900,0,2507,0
6044,910,0,2534,1
6094,925,0,2544,1
6144,945,0,2550,2
6195,964,0,2554,3
6247,995,0,2554,1
6297,1013,0,2574,2
6347,1039,0,2582,1
6397,1050,0,2596,0
6448,1050,0,2634,0
6498,1050,0,2663,0
6548,1050,0,2695,0
6600,1050,0,2731,0
6651,1050,0,2760,0
6701,1050,0,2789,0
6751,1050,0,2812,0
6802,1050,0,2842,0
6852,1050,0,2901,0
6902,1050,0,2950,0
6952,1050,0,2988,0
7002,1050,0,3009,0
7052,1062,0,3025,2
7106,1076,0,3043,1
7158,1098,0,3047,2
7208,1117,0,3049,1
7258,1149,0,3052,6
7308,1164,0,3068,1
7359,1189,0,3068,2
7411,1200,0,3091,0
7462,1200,0,3118,0
7513,1200,0,3152,0
7565,1200,0,3178,0
7615,1200,0,3201,0
7670,1200,0,3275,0
7720,1200,0,3308,0
7770,1200,0,3337,0
7820,1200,0,3369,0
7873,1200,0,3402,0
7926,1200,0,3430,0
7976,1200,0,3451,0
8026,1205,0,3477,0
8076,1218,0,3494,1
8126,1231,0,3511,1
8176,1254,0,3521,3
8226,1277,0,3528,5
8279,1305,0,3534,1
8331,1320,0,3548,0
8382,1350,0,3550,6
8432,1350,0,3576,0
8483,1350,0,3606,0
8534,1350,0,3642,0
8587,1350,0,3666,0
8637,1350,0,3702,0
8687,1350,0,3718,0
8737,1350,0,3747,0
8793,1350,0,3788,0
8847,1350,0,3815,0
8897,1350,0,3852,0
8948,1350,0,3889,0
9000,1350,0,3920,0
9050,1360,0,3936,1
9101,1375,0,3944,0
9153,1392,0,3961,1
9204,1413,0,3967,1
9254,1435,0,3968,5
9304,1462,0,3973,2
9357,1484,0,3979,1
9407,1500,0,3992,0
9458,1500,0,4019,0
9509,1500,0,4046,0
9560,1500,0,4074,0
9611,1500,0,4102,0
9663,1500,0,4127,0
9713,1500,0,4148,0
9765,1500,0,4177,0
9818,1500,0,4202,0
9868,1500,0,4241,0
9918,1500,0,4270,0
9970,1500,0,4295,0
10025,1505,0,4324,1
10078,1515,0,4357,0
10130,1531,0,4372,1
10180,1553,0,4382,1
10232,1568,0,4382,1
10282,1598,0,4382,4
10332,1620,0,4396,1
10383,1642,0,4400,1
10433,1650,0,4421,0
10486,1650,0,4457,0
10536,1650,0,4483,0
10586,1650,0,4506,0
10637,1650,0,4542,0
10687,1650,0,4567,0
10737,1650,0,4596,0
10787,1650,0,4621,0
10840,1650,0,4662,0
10892,1650,0,4689,0
10942,1650,0,4710,0
10992,1650,0,4784,0
11042,1658,0,4798,0
11092,1668,0,4815,1
11143,1686,0,4822,1
11196,1708,0,4827,2
11251,1722,0,4838,1
11302,1756,0,4840,2
11353,1777,0,4843,2
11404,1799,0,4853,1
11454,1800,0,4880,0
11505,1800,0,4895,0
11555,1800,0,4922,0
11605,1800,0,4948,0
11655,1800,0,4978,0
11708,1800,0,5012,0
11758,1800,0,5048,0
11808,1800,0,5082,0
11858,1800,0,5119,0
11912,1800,0,5145,0
11962,1800,0,5172,0
12021,1801,0,5195,1
12074,1815,0,5204,0
12126,1829,0,5216,0
12178,1850,0,5225,1
12228,1864,0,5237,0
12279,1888,0,5241,2
12331,1912,0,5241,2
12381,1941,0,5247,2
12434,1950,0,5264,0
12486,1950,0,5295,0
12536,1950,0,5324,0
12593,1950,0,5346,0
12644,1950,0,5380,0
12694,1950,0,5405,0
12746,1950,0,5435,0
12798,1950,0,5468,0
12849,1950,0,5499,0
12901,1950,0,5536,0
12953,1950,0,5559,0
13003,1950,0,5592,0
13053,1959,0,5616,0
13103,1972,0,5643,2
13153,1989,0,5656,2
13206,2009,0,5664,1
13256,2025,0,5693,3
13306,2048,0,5693,3
13356,2074,0,5695,2
13409,2099,0,5696,1
13459,2100,0,5724,0
13510,2100,0,5747,0
13560,2100,0,5773,0
13610,2100,0,5803,0
13663,2100,0,5836,0
13714,2100,0,5867,0
13766,2100,0,5897,0
13818,2100,0,5923,0
13868,2100,0,5951,0
13921,2100,0,5981,0
13972,2100,0,6007,0
14024,2101,0,6033,1
14074,2115,0,6046,1
14125,2128,0,6059,1
14180,2145,0,6068,1
14230,2164,0,6086,0
14280,2186,0,6096,0
14331,2209,0,6106,1
14384,2227,0,6107,1
14437,2250,0,6118,0
14487,2250,0,6144,0
14537,2250,0,6180,0
14588,2250,0,6213,0
14640,2250,0,6236,0
14692,2250,0,6268,0
14743,2250,0,6287,0
14794,2250,0,6311,0
14845,2250,0,6345,0
14898,2250,0,6377,0
14948,2250,0,6402,0
14998,2250,0,6438,0
15049,2259,0,6453,1
15099,2270,0,6479,1
15159,2284,0,6489,1
15209,2308,0,6489,5
15264,2324,0,6495,1
15317,2348,0,6509,1
15367,2370,0,6512,2
15418,2393,0,6522,3
15477,2400,0,6547,0
15529,2400,0,6568,0
15579,2400,0,6599,0
15629,2400,0,6621,0
15682,2400,0,6658,0
15737,2400,0,6696,0
15789,2400,0,6717,0
15839,2400,0,6741,0
15894,2400,0,6769,0
15944,2400,0,6808,0
15995,2400,0,6838,0
16046,2406,0,6866,1
16096,2418,0,6884,1
16146,2432,0,6896,2
16196,2444,0,6907,2
16247,2468,0,6911,1
16298,2490,0,6918,0
16348,2512,0,6928,1
16399,2531,0,6941,1
16451,2550,0,6957,0
16501,2550,0,6997,0
16551,2550,0,7027,0
16601,2550,0,7059,0
16652,2550,0,7090,0
16702,2550,0,7119,0
16756,2550,0,7140,0
16807,2550,0,7164,0
16857,2550,0,7187,0
16907,2550,0,7218,0
16963,2550,0,7244,0
17013,2550,0,7280,0
17063,2560,0,7297,1
17113,2572,0,7317,1
17164,2585,0,7330,1
17214,2601,0,7350,1
17271,2624,0,7366,1
17321,2647,0,7371,0
17372,2668,0,7429,1
17424,2691,0,7432,2
17480,2700,0,7457,0
17530,2700,0,7493,0
17584,2700,0,7529,0
17634,2700,0,7553,0
17684,2700,0,7586,0
17734,2700,0,7616,0
